resource_id,resource_category,resource_date,theoretical_capacity_orders,actual_throughput_orders,downtime_minutes,data_source
RES-hematology-01,hematology,2026-03-01,240,6,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-01,240,4,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-01,120,0,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-01,40,0,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-01,60,5,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-01,30,1,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-01,12,2,90,SYNTHETIC
RES-hematology-01,hematology,2026-03-02,240,250,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-02,240,244,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-02,120,27,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-02,40,7,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-02,60,222,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-02,30,104,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-02,12,34,60,SYNTHETIC
RES-hematology-01,hematology,2026-03-03,240,255,30,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-03,240,270,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-03,120,149,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-03,40,92,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-03,60,270,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-03,30,225,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-03,12,159,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-04,240,250,30,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-04,240,243,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-04,120,253,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-04,40,176,60,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-04,60,253,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-04,30,241,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-04,12,208,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-05,240,277,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-05,240,255,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-05,120,247,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-05,40,210,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-05,60,259,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-05,30,240,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-05,12,240,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-06,240,230,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-06,240,256,60,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-06,120,271,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-06,40,231,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-06,60,270,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-06,30,226,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-06,12,258,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-07,240,86,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-07,240,91,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-07,120,247,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-07,40,226,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-07,60,97,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-07,30,199,60,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-07,12,249,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-08,240,10,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-08,240,14,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-08,120,146,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-08,40,196,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-08,60,14,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-08,30,61,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-08,12,147,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-09,240,255,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-09,240,262,60,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-09,120,82,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-09,40,120,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-09,60,190,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-09,30,99,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-09,12,94,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-10,240,247,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-10,240,256,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-10,120,176,60,SYNTHETIC
RES-pathology-01,pathology,2026-03-10,40,148,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-10,60,260,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-10,30,225,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-10,12,174,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-11,240,256,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-11,240,241,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-11,120,224,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-11,40,190,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-11,60,239,60,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-11,30,275,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-11,12,266,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-12,240,257,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-12,240,264,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-12,120,227,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-12,40,274,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-12,60,287,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-12,30,226,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-12,12,241,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-13,240,215,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-13,240,283,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-13,120,256,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-13,40,270,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-13,60,256,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-13,30,256,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-13,12,271,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-14,240,96,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-14,240,82,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-14,120,234,60,SYNTHETIC
RES-pathology-01,pathology,2026-03-14,40,250,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-14,60,106,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-14,30,206,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-14,12,234,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-15,240,13,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-15,240,8,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-15,120,146,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-15,40,200,0,SYNTHETIC
